technology,co2_kg_per_kwh,nox_kg_per_kwh,sox_kg_per_kwh,pm25_kg_per_kwh,gwp100_kg_per_kwh
coal,1.278738638558292,0.002384278885823585,0.005902694718010536,0.008827976381411628,1.296548057548183
gas,0.6075868661788821,0.0005765450152081453,0.0001690098250557894,3.630044074237003e-05,0.6985684308319495
oil,0.9189290526706524,0.00302501905062085,0.004824964364575852,0.000139793918616886,1.007277109699192
nuclear,0.006369634787593883,3.438700910865894e-05,2.167437950058859e-05,1.761961391116732e-05,0.007168263973614549
hydro,0.004304037193944585,1.635822173403692e-05,6.708621702325227e-06,5.234848642589002e-06,0.004704551955781447
wind,0.0137161953674577,4.028477959218797e-05,4.328111762674623e-05,1.251863949114845e-05,0.01558268760161338
solar,0.07124845237216071,0.0001988228216778055,0.0002649101618571757,6.488977778501915e-05,0.08248890012939528
biomass,0.03403771206150213,0.0009446358470549072,7.450781069373427e-05,6.67106329318198e-05,0.04471392799015089
geothermal,0.06392135471138002,0.0001639445001472615,0.0001674286997810568,8.172800198261668e-05,0.07187878561955474
storage,,,,,
