year,erf
1750,0.0
1751,0.200700993372093
1752,0.209210473372093
1753,0.20653415337209297
1754,0.061841333372093
1755,-0.06227982662790701
1756,0.07403825337209298
1757,-0.06557122662790699
1758,0.15952633337209296
1759,0.203316393372093
1760,0.20650185337209298
1761,0.05265669337209299
1762,-1.263667786627907
1763,-0.5695549466279071
1764,-0.0036401266279070116
1765,0.163579713372093
1766,0.202829133372093
1767,-0.28097152662790703
1768,-0.030132206627907013
1769,0.164265233372093
1770,0.04230439337209298
1771,0.159619073372093
1772,0.20298853337209297
1773,0.209776493372093
1774,0.210787153372093
1775,0.210930873372093
1776,0.210948853372093
1777,0.210949853372093
1778,0.21094913337209298
1779,0.207757153372093
1780,0.137100373372093
1781,0.18812451337209296
1782,0.20734601337209302
1783,0.210426953372093
1784,-2.123964526627907
1785,-3.097347326627907
1786,-0.346369746627907
1787,-0.004200066627907013
1788,0.034097253372092975
1789,0.11947143337209298
1790,0.18857007337209297
1791,-0.029609306627907013
1792,0.12079305337209299
1793,0.19332287337209297
1794,0.19022239337209298
1795,0.19437643337209298
1796,-0.183896926627907
1797,-0.018730606627907
1798,0.11432195337209297
1799,0.195968593372093
1800,0.20875475337209298
1801,-0.12318916662790699
1802,0.12402779337209298
1803,0.18770925337209296
1804,0.20380221337209298
1805,0.205993493372093
1806,0.11742309337209297
1807,0.19177989337209297
1808,0.20809551337209298
1809,0.21054357337209298
1810,-3.454074186627907
1811,-4.022492966627907
1812,-1.6756887866279069
1813,-0.8151592266279071
1814,-0.7749623066279071
1815,-0.8659799466279071
1816,-3.126038146627907
1817,-5.793790046627906
1818,-4.2318628866279075
1819,-2.327157106627907
1820,-0.787952166627907
1821,-0.04522450662790698
1822,0.013202953372092978
1823,0.0017546733720929727
1824,-0.46818296662790704
1825,-0.088873966627907
1826,0.04177445337209297
1827,0.17101953337209297
1828,0.188147913372093
1829,0.131409793372093
1830,0.14855891337209298
1831,0.195148013372093
1832,-0.5739814066279071
1833,-2.881388706627907
1834,-1.334288746627907
1835,-0.20150988662790703
1836,-2.014839626627907
1837,-1.975975706627907
1838,-0.540945566627907
1839,-0.5119759466279071
1840,-0.018217486627907023
1841,0.16698571337209298
1842,0.20354491337209296
1843,0.209796553372093
1844,-0.181902786627907
1845,0.040130553372093
1846,0.09823151337209297
1847,-0.4390482066279071
1848,-0.008156346627906999
1849,0.168594773372093
1850,0.203837333372093
1851,0.209751713372093
1852,0.210505273372093
1853,0.210452993372093
1854,-0.032525786627907
1855,-0.28424942662790703
1856,0.057064913372093
1857,0.12450015337209298
1858,-0.799125086627907
1859,-0.419412666627907
1860,0.04643643337209298
1861,0.16910739337209296
1862,0.199810293372093
1863,-1.2749806466279068
1864,-1.1708932266279068
1865,-0.15890876662790698
1866,0.136182273372093
1867,0.195337593372093
1868,0.20562397337209298
1869,0.201340473372093
1870,-0.02683246662790701
1871,0.129243793372093
1872,0.192180573372093
1873,-0.5245240666279071
1874,-0.688656626627907
1875,0.0012184333720929863
1876,0.033818633372092975
1877,0.101827053372093
1878,0.16760319337209298
1879,0.19188985337209302
1880,0.20273193337209297
1881,0.09167985337209299
1882,-0.028569926627907
1883,0.13306421337209298
1884,-0.12898032662790704
1885,-2.200132526627907
1886,-1.441550966627907
1887,-1.3205852466279069
1888,-0.471825726627907
1889,0.05394515337209298
1890,0.14591321337209298
1891,-0.0067244666279070095
1892,0.115582613372093
1893,0.06203211337209299
1894,0.134329593372093
1895,0.17893131337209298
1896,-0.11020308662790701
1897,0.048470133372092994
1898,0.159073253372093
1899,0.187556733372093
1900,0.197700253372093
1901,0.18811263337209297
1902,0.19704825337209297
1903,0.159349573372093
1904,-0.145793346627907
1905,0.03379115337209297
1906,0.15372771337209298
1907,0.18289719337209298
1908,-0.188074566627907
1909,-0.12570192662790702
1910,0.128681893372093
1911,0.186988333372093
1912,0.18490997337209297
1913,-0.4794165866279071
1914,-0.648843266627907
1915,0.03013565337209298
1916,0.172108033372093
1917,0.19440145337209297
1918,0.18785955337209298
1919,0.13067251337209299
1920,-0.058458806627906985
1921,0.13790481337209298
1922,0.18743457337209302
1923,0.195631753372093
1924,0.19672513337209296
1925,0.013919793372093002
1926,0.11703837337209298
1927,-0.10232470662790702
1928,0.05207685337209299
1929,0.174025353372093
1930,0.18603647337209295
1931,0.19084357337209298
1932,0.178329453372093
1933,0.08835121337209301
1934,-0.19760720662790704
1935,0.07025205337209298
1936,0.174523893372093
1937,0.19144751337209298
1938,0.185251513372093
1939,0.18725137337209297
1940,0.192522733372093
1941,0.193481853372093
1942,0.19347599337209298
1943,0.193309793372093
1944,0.013389393372092995
1945,0.06223381337209299
1946,0.157703273372093
1947,0.184062753372093
1948,0.08323393337209298
1949,0.11587647337209298
1950,0.17641019337209296
1951,0.18858059337209299
1952,0.16251329337209297
1953,0.163108993372093
1954,0.176293853372093
1955,0.18479107337209297
1956,0.18414569337209302
1957,0.04903891337209299
1958,0.04859267337209299
1959,0.153942733372093
1960,0.18318699337209296
1961,0.18874199337209296
1962,0.189521213372093
1963,0.18947821337209297
1964,-0.699145866627907
1965,-0.581923246627907
1966,0.021745033372093
1967,0.13630943337209298
1968,0.166472553372093
1969,0.06920555337209297
1970,-0.010753566627907003
1971,0.129494213372093
1972,0.176216813372093
1973,0.185651753372093
1974,0.18102083337209302
1975,0.179640333372093
1976,0.16926977337209298
1977,0.16981481337209298
1978,0.18344273337209296
1979,0.185987653372093
1980,0.18022141337209302
1981,0.11445963337209299
1982,0.06439197337209299
1983,-0.279754266627907
1984,-0.7726439666279071
1985,-0.32345002662790695
1986,-0.027230246627907018
1987,-0.028658666627907024
1988,0.052289213372092996
1989,0.10867815337209298
1990,0.14797491337209298
1991,0.14323947337209297
1992,-0.643291886627907
1993,-1.9796417066279068
1994,-0.8796340066279071
1995,-0.10356738662790699
1996,0.08503535337209298
1997,0.15389487337209298
1998,0.17692705337209297
1999,0.17938699337209296
2000,0.183499093372093
2001,0.184461133372093
2002,0.17908427337209298
2003,0.18599165337209295
2004,0.16947137337209295
2005,0.180523413372093
2006,0.15365727337209298
2007,0.135762053372093
2008,0.12297117337209298
2009,0.14005885337209298
2010,0.11061037337209298
2011,0.14574389337209298
2012,0.104752913372093
2013,0.143520873372093
2014,0.16741483337209295
2015,0.14840349337209296
2016,0.11798679337209297
2017,0.13683521337209298
2018,0.162226333372093
2019,0.14352015337209298
2020,0.07240337337209299
2021,0.03827299337209298
2022,0.09638475337209298
2023,0.09638475337209298
2024,0.08567533337209297
2025,0.07496591337209299
2026,0.06425649337209297
2027,0.05354709337209298
2028,0.042837673372092995
2029,0.03212825337209298
2030,0.021418833372092994
2031,0.010709413372092975
2032,0.0
2033,0.0
2034,0.0
2035,0.0
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
2051,0.0
2052,0.0
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,0.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
2101,0.0
2102,0.0
2103,0.0
2104,0.0
2105,0.0
2106,0.0
2107,0.0
2108,0.0
2109,0.0
2110,0.0
2111,0.0
2112,0.0
2113,0.0
2114,0.0
2115,0.0
2116,0.0
2117,0.0
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,0.0
2123,0.0
2124,0.0
2125,0.0
2126,0.0
2127,0.0
2128,0.0
2129,0.0
2130,0.0
2131,0.0
2132,0.0
2133,0.0
2134,0.0
2135,0.0
2136,0.0
2137,0.0
2138,0.0
2139,0.0
2140,0.0
2141,0.0
2142,0.0
2143,0.0
2144,0.0
2145,0.0
2146,0.0
2147,0.0
2148,0.0
2149,0.0
2150,0.0
2151,0.0
2152,0.0
2153,0.0
2154,0.0
2155,0.0
2156,0.0
2157,0.0
2158,0.0
2159,0.0
2160,0.0
2161,0.0
2162,0.0
2163,0.0
2164,0.0
2165,0.0
2166,0.0
2167,0.0
2168,0.0
2169,0.0
2170,0.0
2171,0.0
2172,0.0
2173,0.0
2174,0.0
2175,0.0
2176,0.0
2177,0.0
2178,0.0
2179,0.0
2180,0.0
2181,0.0
2182,0.0
2183,0.0
2184,0.0
2185,0.0
2186,0.0
2187,0.0
2188,0.0
2189,0.0
2190,0.0
2191,0.0
2192,0.0
2193,0.0
2194,0.0
2195,0.0
2196,0.0
2197,0.0
2198,0.0
2199,0.0
2200,0.0
2201,0.0
2202,0.0
2203,0.0
2204,0.0
2205,0.0
2206,0.0
2207,0.0
2208,0.0
2209,0.0
2210,0.0
2211,0.0
2212,0.0
2213,0.0
2214,0.0
2215,0.0
2216,0.0
2217,0.0
2218,0.0
2219,0.0
2220,0.0
2221,0.0
2222,0.0
2223,0.0
2224,0.0
2225,0.0
2226,0.0
2227,0.0
2228,0.0
2229,0.0
2230,0.0
2231,0.0
2232,0.0
2233,0.0
2234,0.0
2235,0.0
2236,0.0
2237,0.0
2238,0.0
2239,0.0
2240,0.0
2241,0.0
2242,0.0
2243,0.0
2244,0.0
2245,0.0
2246,0.0
2247,0.0
2248,0.0
2249,0.0
2250,0.0
2251,0.0
2252,0.0
2253,0.0
2254,0.0
2255,0.0
2256,0.0
2257,0.0
2258,0.0
2259,0.0
2260,0.0
2261,0.0
2262,0.0
2263,0.0
2264,0.0
2265,0.0
2266,0.0
2267,0.0
2268,0.0
2269,0.0
2270,0.0
2271,0.0
2272,0.0
2273,0.0
2274,0.0
2275,0.0
2276,0.0
2277,0.0
2278,0.0
2279,0.0
2280,0.0
2281,0.0
2282,0.0
2283,0.0
2284,0.0
2285,0.0
2286,0.0
2287,0.0
2288,0.0
2289,0.0
2290,0.0
2291,0.0
2292,0.0
2293,0.0
2294,0.0
2295,0.0
2296,0.0
2297,0.0
2298,0.0
2299,0.0
2300,0.0
2301,0.0
2302,0.0
2303,0.0
2304,0.0
2305,0.0
2306,0.0
2307,0.0
2308,0.0
2309,0.0
2310,0.0
2311,0.0
2312,0.0
2313,0.0
2314,0.0
2315,0.0
2316,0.0
2317,0.0
2318,0.0
2319,0.0
2320,0.0
2321,0.0
2322,0.0
2323,0.0
2324,0.0
2325,0.0
2326,0.0
2327,0.0
2328,0.0
2329,0.0
2330,0.0
2331,0.0
2332,0.0
2333,0.0
2334,0.0
2335,0.0
2336,0.0
2337,0.0
2338,0.0
2339,0.0
2340,0.0
2341,0.0
2342,0.0
2343,0.0
2344,0.0
2345,0.0
2346,0.0
2347,0.0
2348,0.0
2349,0.0
2350,0.0
2351,0.0
2352,0.0
2353,0.0
2354,0.0
2355,0.0
2356,0.0
2357,0.0
2358,0.0
2359,0.0
2360,0.0
2361,0.0
2362,0.0
2363,0.0
2364,0.0
2365,0.0
2366,0.0
2367,0.0
2368,0.0
2369,0.0
2370,0.0
2371,0.0
2372,0.0
2373,0.0
2374,0.0
2375,0.0
2376,0.0
2377,0.0
2378,0.0
2379,0.0
2380,0.0
2381,0.0
2382,0.0
2383,0.0
2384,0.0
2385,0.0
2386,0.0
2387,0.0
2388,0.0
2389,0.0
2390,0.0
2391,0.0
2392,0.0
2393,0.0
2394,0.0
2395,0.0
2396,0.0
2397,0.0
2398,0.0
2399,0.0
2400,0.0
2401,0.0
2402,0.0
2403,0.0
2404,0.0
2405,0.0
2406,0.0
2407,0.0
2408,0.0
2409,0.0
2410,0.0
2411,0.0
2412,0.0
2413,0.0
2414,0.0
2415,0.0
2416,0.0
2417,0.0
2418,0.0
2419,0.0
2420,0.0
2421,0.0
2422,0.0
2423,0.0
2424,0.0
2425,0.0
2426,0.0
2427,0.0
2428,0.0
2429,0.0
2430,0.0
2431,0.0
2432,0.0
2433,0.0
2434,0.0
2435,0.0
2436,0.0
2437,0.0
2438,0.0
2439,0.0
2440,0.0
2441,0.0
2442,0.0
2443,0.0
2444,0.0
2445,0.0
2446,0.0
2447,0.0
2448,0.0
2449,0.0
2450,0.0
2451,0.0
2452,0.0
2453,0.0
2454,0.0
2455,0.0
2456,0.0
2457,0.0
2458,0.0
2459,0.0
2460,0.0
2461,0.0
2462,0.0
2463,0.0
2464,0.0
2465,0.0
2466,0.0
2467,0.0
2468,0.0
2469,0.0
2470,0.0
2471,0.0
2472,0.0
2473,0.0
2474,0.0
2475,0.0
2476,0.0
2477,0.0
2478,0.0
2479,0.0
2480,0.0
2481,0.0
2482,0.0
2483,0.0
2484,0.0
2485,0.0
2486,0.0
2487,0.0
2488,0.0
2489,0.0
2490,0.0
2491,0.0
2492,0.0
2493,0.0
2494,0.0
2495,0.0
2496,0.0
2497,0.0
2498,0.0
2499,0.0
2500,0.0
2501,0.0
