Year,Global GDP (Units: Current U.S. Dollars),Global GDP/10^12
1960,1366518832081.63,1.37
1961,1444155801377.01,1.44
1962,1545552148962.66,1.55
1963,1671283302003.20,1.67
1964,1832063117758.40,1.83
1965,1996307969114.51,2.00
1966,2163210217039.90,2.16
1967,2295465833625.80,2.30
1968,2480759067236.83,2.48
1969,2739621571022.64,2.74
1970,3003540496240.13,3.00
1971,3319027899480.72,3.32
1972,3833708718081.18,3.83
1973,4688479153647.36,4.69
1974,5419268099653.94,5.42
1975,6033913861320.21,6.03
1976,6559468891337.80,6.56
1977,7415806396991.26,7.42
1978,8779411323126.77,8.78
1979,10155057859289.10,10.16
1980,11451170034154.70,11.45
1981,11841581193682.80,11.84
1982,11717779602332.80,11.72
1983,11961355656014.30,11.96
1984,12426298948063.80,12.43
1985,13015126741165.10,13.02
1986,15345851424081.50,15.35
1987,17468553825521.00,17.47
1988,19519047023614.80,19.52
1989,20388471827492.50,20.39
1990,22908354034045.60,22.91
1991,23910596567368.30,23.91
1992,25534904654814.50,25.53
1993,25961274908090.30,25.96
1994,27945244047282.90,27.95
1995,31154594865009.50,31.15
1996,31872116364319.20,31.87
1997,31767295510781.60,31.77
1998,31711056230286.60,31.71
1999,32757333536608.60,32.76
2000,33868713738357.90,33.87
2001,33662293242135.40,33.66
2002,34959942302257.20,34.96
2003,39205591618517.20,39.21
2004,44181897123631.90,44.18
2005,47847635179349.80,47.85
2006,51859668488984.30,51.86
2007,58448614438455.80,58.45
2008,64232292784905.60,64.23
2009,60909219885221.00,60.91
2010,66722149003894.30,66.72
2011,74213035604821.00,74.21
2012,75866007009764.41,75.87
2013,78070094837109.70,78.07
2014,80247427618833.91,80.25
2015,75723635302571.91,75.72
2016,76957345383656.59,76.96
2017,81974795709110.09,81.97
2018,87188987385051.50,87.19
2019,88492389499432.00,88.49
2020,86116567565730.41,86.12
2021,98365745535038.50,98.37
2022,102434886179161.00,102.43
2023,106939249843452.00,106.94
2024,111252997846886.00,111.25
