Year,Population (historical)
1800,983104755.00
1801,986464967.00
1802,989864750.00
1803,993304404.00
1804,996784263.00
1805,1000304675.00
1806,1003866016.00
1807,1007468698.00
1808,1011113144.00
1809,1014799822.00
1810,1020150076.00
1811,1025557675.00
1812,1031616616.00
1813,1038342722.00
1814,1045238421.00
1815,1052307852.00
1816,1059555372.00
1817,1066985519.00
1818,1074603043.00
1819,1082114553.00
1820,1089507052.00
1821,1096534977.00
1822,1103392066.00
1823,1110594705.00
1824,1117897019.00
1825,1125304048.00
1826,1132861806.00
1827,1140524282.00
1828,1148292956.00
1829,1155618460.00
1830,1162497339.00
1831,1168886301.00
1832,1174792985.00
1833,1180213555.00
1834,1185694036.00
1835,1191237685.00
1836,1196838401.00
1837,1202503348.00
1838,1208233715.00
1839,1213934891.00
1840,1219617217.00
1841,1225283810.00
1842,1230929323.00
1843,1236555463.00
1844,1242258939.00
1845,1248042343.00
1846,1253907423.00
1847,1259855932.00
1848,1265889730.00
1849,1271136843.00
1850,1275602897.00
1851,1278768180.00
1852,1281158448.00
1853,1282781891.00
1854,1284514999.00
1855,1286359120.00
1856,1288315736.00
1857,1290386388.00
1858,1292572700.00
1859,1295121860.00
1860,1298027373.00
1861,1301279942.00
1862,1304883100.00
1863,1308825538.00
1864,1312850777.00
1865,1316952210.00
1866,1321129252.00
1867,1325389634.00
1868,1329732282.00
1869,1334654211.00
1870,1340168478.00
1871,1346202715.00
1872,1352896118.00
1873,1360163018.00
1874,1367501771.00
1875,1374940414.00
1876,1382459121.00
1877,1390028839.00
1878,1397666358.00
1879,1405838237.00
1880,1414583216.00
1881,1423919001.00
1882,1433850986.00
1883,1444371648.00
1884,1455021634.00
1885,1465857041.00
1886,1476798447.00
1887,1487893376.00
1888,1499115427.00
1889,1510109709.00
1890,1520891633.00
1891,1531425085.00
1892,1541712153.00
1893,1551756342.00
1894,1561938512.00
1895,1572272041.00
1896,1582693744.00
1897,1593261169.00
1898,1603953574.00
1899,1615300901.00
1900,1627273655.00
1901,1639887187.00
1902,1653151632.00
1903,1667064512.00
1904,1681154888.00
1905,1695427510.00
1906,1709887300.00
1907,1724558347.00
1908,1739441480.00
1909,1753729257.00
1910,1767417985.00
1911,1780422213.00
1912,1792912374.00
1913,1804803374.00
1914,1816884694.00
1915,1829102909.00
1916,1841395693.00
1917,1853777065.00
1918,1866778878.00
1919,1880624916.00
1920,1895426673.00
1921,1910916276.00
1922,1927207651.00
1923,1944216846.00
1924,1961489200.00
1925,1979027667.00
1926,1996813608.00
1927,2014848732.00
1928,2033160306.00
1929,2052125441.00
1930,2071786711.00
1931,2092158599.00
1932,2113215566.00
1933,2134919626.00
1934,2156892673.00
1935,2179140887.00
1936,2201762907.00
1937,2224730578.00
1938,2248127325.00
1939,2270675197.00
1940,2291979566.00
1941,2312098978.00
1942,2331135363.00
1943,2349014611.00
1944,2366918849.00
1945,2384671779.00
1946,2402301767.00
1947,2421291820.00
1948,2441897177.00
1949,2467923023.00
1950,2493092852.00
1951,2536927034.00
1952,2584086340.00
1953,2634106241.00
1954,2685894857.00
1955,2740213796.00
1956,2795409991.00
1957,2852618331.00
1958,2911249671.00
1959,2965950350.00
1960,3015470889.00
1961,3064869675.00
1962,3123374312.00
1963,3192807826.00
1964,3264487343.00
1965,3334533710.00
1966,3404041131.00
1967,3473412877.00
1968,3545187246.00
1969,3619491581.00
1970,3694683794.00
1971,3769847867.00
1972,3844917684.00
1973,3920805041.00
1974,3996416100.00
1975,4070735279.00
1976,4144246382.00
1977,4217863796.00
1978,4292097499.00
1979,4368539520.00
1980,4447606240.00
1981,4528777306.00
1982,4612673415.00
1983,4697327573.00
1984,4782175518.00
1985,4868943457.00
1986,4958072839.00
1987,5049746390.00
1988,5141992540.00
1989,5234431736.00
1990,5327803106.00
1991,5418735886.00
1992,5505989815.00
1993,5591544802.00
1994,5675551258.00
1995,5758878977.00
1996,5842055730.00
1997,5924787819.00
1998,6007066691.00
1999,6089006328.00
2000,6171702992.00
2001,6254936464.00
2002,6337730343.00
2003,6420361633.00
2004,6503377774.00
2005,6586970132.00
2006,6671452019.00
2007,6757308776.00
2008,6844457659.00
2009,6932766416.00
2010,7021732143.00
2011,7110923773.00
2012,7201202478.00
2013,7291793585.00
2014,7381616239.00
2015,7470491876.00
2016,7558554527.00
2017,7645617952.00
2018,7729902779.00
2019,7811293699.00
2020,7887001289.00
2021,7954448387.00
2022,8021407196.00
2023,8091734933.00
